Library Order,Name,ID,Group,Version,Author,Class name,Pack,Render,Costume,Mode,Renderer,Slider
16,Letter,1,1,Version 1.3.2,Stan le Punk,Letter,Base 2012,,Point/Line/Triangle,,classic,"f_hue,f_saturation,f_brightness,f_alpha,s_hue,s_saturation,s_brightness,s_alpha,thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
17,Lignes,15,1,Version 1.1.3,Stan le Punk,Lignes,Base 2011,,,Lines 1/Lines 2/Lines 3/Lines 4/Lines 5/Lines 6,classic,"f_hue,f_saturation,f_brightness,f_alpha,,,,,thickness,,,,,canvas X,,,,speed X,,,,,,direction X,,,,,,,,,quantity,,,,,,angle,,,alignment,,,,,,,"
18,Lorenz attractor,27,1,Version 0.0.2,Stan le Punk,Lorenz,Nature of Code 2016,,,Classic/Point,classic,"f_hue,f_saturation,f_brightness,f_alpha,,,,,,size X,size Y,,,,,,,,,,,,,,,,jitter X,jitter Y,jitter Z,,,,,,life,,,,,,,,,,,,,spectrum,"
19,Rubis,8,1,version 1.0.5,Stan le Punk,MesAmis,Base 2013,,,Vertex/Point,classic,"f_hue,f_saturation,f_brightness,f_alpha,s_hue,s_saturation,s_brightness,s_alpha,thickness,,,,,canvas X,,,,speed X,,,,,,,,,jitter X,jitter Y,jitter Z,swing X,,,quantity,,,,,,,,,,,,,,,,"
20,Movisco,24,1,Version 0.0.7,Stan le Punk,Movisco,Base 2016,,,Classic mono/Classic Poly/Mono/Poly,classic,"f_hue,f_saturation,f_brightness,f_alpha,,,,,,size X,size Y,,,,,,,,,,,,,,,,,,,,,,quantity,,,,quality,area,,,,,,,,,,,"
21,Orbital,4,1,Version 0.0.3,Alexandre Petit,Orbital,Workshop 2015,,,,classic,"f_hue,f_saturation,f_brightness,f_alpha,s_hue,s_saturation,s_brightness,s_alpha,,,,,,,,,,speed X,,,,,,,,,,,,,,,quantity,,,,,,,,,,,,,,,,"
22,Pulsar,16,1,version 0.0.1,Stan le Punk,Pulsar,Base 2018,,point/ellipse/triangle/rect/pentagon/star,nothing/cyclus/heart/ring cyclus/ring heart/helmet cyclus/helmet heart,classic,"f_hue,f_saturation,f_brightness,f_alpha,s_hue,s_saturation,s_brightness,s_alpha,thickness,size X,size Y,,,canvas X,,,,speed X,speed Y,speed Z,,,,direction X,direction Y,direction Z,,,,,,,quantity,,,,quality,,,,,,,,,,,,"
23,Soleil,11,1,Version 1.1.3,Stan le Punk,Soleil,Base,,,Beam/Lie'Bro'One/Lie'Bro'Two/Lie'Bro Noisy,classic,"f_hue,f_saturation,f_brightness,f_alpha,s_hue,s_saturation,s_brightness,s_alpha,thickness,,,,,canvas X,,,,speed X,,,spurt X,,,,,,,,jitter Z,,,,quantity,,,,,,,,,,,,,,,,"
24,Spirale,12,1,Version 1.3.6,Stan le Punk,SpiraleRomanesco,Base 2011,,Point/Ellipse/Triangle/Rectangle/Cross/Star 5/Star 7/Super Star 8/Super Star 12,,classic,"f_hue,f_saturation,f_brightness,f_alpha,s_hue,s_saturation,s_brightness,s_alpha,thickness,size X,size Y,size Z,,canvas X,canvas Y,,,speed X,,,,,,,,,,,,swing X,,,quantity,,,,,,,,,alignment,,,,,,,"
25,Surface,23,1,Version 1.0.4,Stan le Punk,Surface,Base 2014,,,Surfimage/Vague/Vague++,classic,"f_hue,f_saturation,f_brightness,f_alpha,s_hue,s_saturation,s_brightness,s_alpha,thickness,size X,size Y,,,canvas X,canvas Y,,,speed X,,,,,,,,,,,,swing X,,,,,,,quality,,,,,,,,,influence,,,"
26,The Abbyss,6,1,version 2.1.2,Andreas Gysin,The_Abbyss,Base 2014,,,Box Fish/Cubus/Floater/Radio/Worm/Sea Fly/Breather/Spider/Manta/Father/Super Nova,classic,"f_hue,f_saturation,f_brightness,f_alpha,s_hue,s_saturation,s_brightness,s_alpha,thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
27,Vectorial,18,1,Version 0.0.4,Stan le Punk,Vectorial,Base 2015,,,Classic original/Classic custom/Walker original/Walker custom,classic,"f_hue,f_saturation,f_brightness,f_alpha,s_hue,s_saturation,s_brightness,s_alpha,thickness,,,,,canvas X,canvas Y,,,,,,,,,,,,jitter X,jitter Y,jitter Z,swing X,swing Y,swing Z,,,,,,,,,,,,,,,,,"
28,Webcam,21,1,Version 1.2.7,Stan le Punk,Webcam,Base 2011,,,Rectangle color/Rectangle mono/Point color/Point mono/Box color/Box mono,classic,"f_hue,f_saturation,f_brightness,f_alpha,,,,,,size X,size Y,size Z,,canvas X,canvas Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
